Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-July-2022,17409.95,17820.00,17349.20,17789.20,17667.725897103329009943,2313,1037,40865450.00,1364,58.97,470.80,379.25
30-June-2022,17499.00,17574.70,17252.10,17493.15,17450.829976303317535545,1688,749,29457001.00,382,22.63,322.60,-5.85
29-June-2022,17270.95,17521.15,17270.90,17498.75,17448.175624786032180760,2921,1093,50966121.00,1090,37.32,250.25,227.80
28-June-2022,17359.95,17474.00,17045.00,17414.20,17249.309662398137369033,859,409,14817157.00,255,29.69,429.00,54.25
27-June-2022,17235.00,17390.15,17200.00,17350.55,17331.082507366729172247,3733,1266,64696931.00,2637,70.64,190.15,115.55
24-June-2022,16980.00,17240.00,16930.00,17229.15,17165.585155732273028495,1509,610,25902868.00,896,59.38,310.00,249.15
23-June-2022,16776.00,17038.20,16715.75,16999.50,16946.654226961157654226,1313,568,22250957.00,738,56.21,322.45,223.50
22-June-2022,16900.00,16900.00,16588.50,16780.60,16736.791443850267379679,748,418,12519120.00,209,27.94,311.50,-119.40
21-June-2022,17000.05,17200.00,16864.90,16953.45,17046.304259634888438133,986,459,16807656.00,392,39.76,335.10,-46.60
20-June-2022,16680.00,17019.75,16544.40,16964.05,16896.442421259842519685,2032,919,34333571.00,1186,58.37,475.35,284.05
17-June-2022,16849.00,16849.00,16433.45,16683.30,16667.233394833948339483,3252,1366,54201843.00,1823,56.06,415.55,-165.70
16-June-2022,16946.20,16946.20,16629.70,16872.80,16817.938642046547412964,10398,1793,174872926.00,8587,82.58,316.50,-73.40
15-June-2022,16966.30,16966.30,16663.25,16822.30,16769.363581367211131276,1653,514,27719758.00,361,21.84,303.05,-144.00
14-June-2022,16750.00,17080.55,16750.00,16870.40,16877.730029901751388295,2341,835,39510766.00,828,35.37,330.55,120.40
13-June-2022,16650.00,16971.95,16550.00,16857.25,16816.365870307167235494,5860,2291,98543904.00,4277,72.99,421.95,207.25
10-June-2022,16700.00,16872.75,16545.00,16780.05,16718.117028270874424720,1521,707,25428256.00,515,33.86,327.75,80.05
9-June-2022,16673.90,16829.15,16490.00,16772.45,16659.408925318761384335,1098,655,18292031.00,437,39.80,339.15,98.55
8-June-2022,16720.00,16756.85,16452.55,16735.45,16641.128877005347593582,3740,1098,62237822.00,2726,72.89,304.30,15.45
7-June-2022,16968.10,16968.10,16610.40,16762.90,16701.736133122028526148,1262,665,21077591.00,568,45.01,357.70,-205.20
6-June-2022,17170.00,17205.85,16955.00,16996.60,17028.592105263157894736,1064,497,18118422.00,619,58.18,250.85,-173.40
3-June-2022,17538.00,17550.55,17140.00,17170.00,17254.799635701275045537,1647,1050,28418655.00,750,45.54,410.55,-368.00
2-June-2022,17299.00,17473.75,17030.00,17399.60,17321.552380952380952380,1890,916,32737734.00,377,19.95,443.75,100.60
1-June-2022,17639.00,17832.50,17188.00,17238.50,17485.362126902549911049,5059,1768,88458447.00,2868,56.69,644.50,-400.50
31-May-2022,17739.90,18150.00,17460.00,17770.00,17906.760190047511877969,3999,2123,71609134.00,1606,40.16,690.00,30.10
30-May-2022,17740.00,17975.95,17641.05,17700.25,17827.760670731707317073,1312,766,23390022.00,685,52.21,334.90,-39.75
27-May-2022,17850.00,17850.00,17500.00,17633.60,17627.506172839506172839,1296,757,22845248.00,570,43.98,350.00,-216.40
26-May-2022,17498.90,17711.00,17333.45,17687.40,17511.217230769230769230,1625,617,28455728.00,609,37.48,377.55,188.50
25-May-2022,17250.00,17575.30,17218.20,17283.10,17430.735652797704447632,2788,1381,48596891.00,1447,51.90,357.10,33.10
24-May-2022,17075.00,17270.65,16853.00,17187.75,17117.103948428686543110,1241,702,21242326.00,409,32.96,417.65,112.75
23-May-2022,17055.05,17360.00,16911.60,16988.60,17112.498310291858678955,3255,1664,55701182.00,1274,39.14,448.40,-66.45
20-May-2022,16298.00,16950.00,16296.75,16863.85,16750.868973214285714285,4480,2074,75043893.00,1985,44.31,653.25,565.85
19-May-2022,16200.00,16211.70,16000.00,16100.95,16090.385232744783306581,2492,1284,40097240.00,1530,61.40,211.70,-99.05
18-May-2022,16399.95,16409.80,16229.85,16355.20,16313.985951940850277264,2705,1021,44129332.00,1231,45.51,179.95,-44.75
17-May-2022,16386.00,16400.00,16172.00,16323.55,16291.967072297780959198,1397,755,22759878.00,632,45.24,228.00,-62.45
16-May-2022,16595.00,16595.00,16144.05,16219.45,16254.993943064809206541,1651,1029,26836995.00,926,56.09,450.95,-375.55
13-May-2022,16333.00,16567.60,16310.00,16406.10,16440.016627078384798099,1684,873,27684988.00,741,44.00,257.60,73.10
12-May-2022,16642.30,16642.30,16140.00,16231.55,16231.390092879256965944,1292,669,20970956.00,765,59.21,502.30,-410.75
11-May-2022,16599.85,16612.05,16245.00,16505.95,16403.267782426778242677,2151,1073,35283429.00,1166,54.21,367.05,-93.90
10-May-2022,16670.00,16689.60,16400.00,16530.95,16539.898151950718685831,2435,1220,40274652.00,1256,51.58,289.60,-139.05
9-May-2022,17030.05,17030.05,16450.40,16516.70,16670.171799384073911130,4546,2323,75782601.00,2915,64.12,579.65,-513.35
6-May-2022,17500.00,17530.15,16980.00,17002.00,17128.526881720430107526,2046,919,35044966.00,1055,51.56,550.15,-498.00
5-May-2022,17930.80,18236.00,17509.85,17599.35,17738.735655737704918032,1952,1073,34626012.00,799,40.93,726.15,-331.45
4-May-2022,18414.00,18460.00,17998.80,18098.70,18424.001091759812841174,38470,700,708771322.00,37822,98.32,461.20,-315.30
2-May-2022,18308.25,18486.35,18217.30,18414.10,18349.093474426807760141,1701,280,31211808.00,1365,80.25,269.05,105.85
29-April-2022,18357.75,18652.30,18268.35,18308.95,18484.756718528995756718,1414,595,26137446.00,706,49.93,383.95,-48.80
28-April-2022,18276.00,18527.05,18181.05,18431.45,18424.450749464668094218,1868,769,34416874.00,1168,62.53,346.00,155.45
